,Total Revenue
CAR,5402000000.0
CARA,135082000.0
CARE,112502000.0
CARG,551451000.0
CARR,17456000000.0
CARS,547503000.0
CASA,393246000.0
CASH,434056000.0
CASI,15141000.0
CASS,148128000.0
CASY,8112296000.0
CAT,41748000000.0
CATC,141448000.0
CATM,1093999000.0
CATO,575111000.0
CATY,537430000.0
CB,36052000000.0
CBAY,0.0
CBB,1559800000.0
CBOE,3427100000.0
CBRE,23826195000.0
CBRL,2522792000.0
CBSH,1209556000.0
CBT,2614000000.0
CBTX,121264000.0
CBU,582189000.0
CBZ,963897000.0
CC,4969000000.0
CCBG,202846000.0
CCCC,33195000.0
CCF,261162000.0
CCI,5840000000.0
CCK,11575000000.0
CCL,5594000000.0
CCMP,1116270000.0
CCNE,147416000.0
CCOI,553003000.0
CCRN,836417000.0
CCS,3161192000.0
CCXI,64891000.0
CDAY,842500000.0
CDK,1960100000.0
CDLX,186892000.0
CDMO,59702000.0
CDNA,192194000.0
CDNS,2682891000.0
CDW,18467500000.0
CDXC,59257000.0
CDXS,69056000.0
CDZI,541000.0
CE,5655000000.0
CECE,316011000.0
CEIX,891494000.0
CELH,130725777.0
CENT,2695509000.0
CENTA,2695509000.0
CENX,1605100000.0
CERN,5505788000.0
CERS,74649000.0
CERT,243530000.0
CEVA,100326000.0
CF,4124000000.0
CFB,115282000.0
CFFI,127869000.0
CFFN,186634000.0
CFG,5289000000.0
CFR,1200225000.0
CFX,3070769000.0
CGEM,0.0
CGNT,443458000.0
CGNX,811020000.0
CHCO,226602000.0
CHCT,75684000.0
CHD,4895800000.0
CHDN,1054000000.0
CHE,2079583000.0
CHGG,644338000.0
CHH,774072000.0
CHMA,1106000.0
CHMG,79804000.0
CHMI,-34684000.0
CHNG,196792000.0
CHRS,475824000.0
CHRW,16207106000.0
CHS,1324051000.0
CHTR,48097000000.0
CHUY,320952000.0
CHX,1899996000.0
CI,160550000000.0
CIA,238856000.0
CIEN,3532157000.0
CIM,730085000.0
CINF,7536000000.0
CIO,160840000.0
CIR,773271000.0
CIT,1616800000.0
CIVB,107797000.0
CIX,114537000.0
CL,16471000000.0
CLAR,224007000.0
CLBK,234396000.0
CLDR,869258000.0
CLDT,132451000.0
CLF,5354000000.0
CLFD,93074514.0
CLGX,1642375000.0
CLH,3144097000.0
CLI,310311000.0
CLNC,290834000.0
CLNE,291724000.0
CLNY,1261073000.0
CLPR,122850000.0
CLR,2408410000.0
CLVS,164522000.0
CLW,1868600000.0
CLX,6721000000.0
CLXT,23851000.0
CMA,2375000000.0
CMBM,278459000.0
CMC,5476486000.0
CMCO,809162000.0
CMCSA,103564000000.0
CMCT,77208000.0
CMD,1016048000.0
CME,4870300000.0
CMG,5984634000.0
CMI,19811000000.0
CMO,-45665000.0
CMP,1373500000.0
CMPR,2481358000.0
CMRE,460319000.0
CMRX,5372000.0
CMS,6680000000.0
CMTL,616715000.0
CNA,10808000000.0
CNBKA,120104000.0
CNC,104176000000.0
CNCE,7902000.0
CNDT,4163000000.0
CNK,686310000.0
CNMD,862459000.0
CNNE,585700000.0
CNO,3821100000.0
CNOB,211391000.0
CNP,7418000000.0
CNR,4617369000.0
CNS,427536000.0
CNSL,1304028000.0
CNST,0.0
CNTY,304268000.0
CNX,1085684000.0
CNXC,4719534000.0
CNXN,2590290000.0
CODX,74552758.0
COF,18259000000.0
COFS,69769000.0
COG,1405220000.0
COHR,1228999000.0
COHU,636007000.0
COKE,5007357000.0
COLB,526911000.0
COLD,1987727000.0
COLL,310016000.0
COLM,2501554000.0
COMM,8435900000.0
CONE,1033500000.0
CONN,1386025000.0
COO,2430900000.0
COOP,2733000000.0
COP,19216000000.0
COR,606824000.0
CORE,13617100000.0
CORR,41443891.0
CORT,353874000.0
COST,166761000000.0
COTY,4717800000.0
COUP,541643000.0
COWN,1432467000.0
CPA,801003000.0
CPB,8691000000.0
CPF,203212000.0
CPK,488198000.0
CPLG,411000000.0
CPRI,5551000000.0
CPRT,2205583000.0
CPRX,119072803.0
CPS,2375439000.0
CPSI,264488000.0
CPT,1065638000.0
CR,2936900000.0
CRAI,508373000.0
CRBP,3937230.0
CREE,903900000.0
CRI,3024334000.0
CRM,21252000000.0
CRMD,239231.0
CRMT,918610000.0
CRNC,329646000.0
CRNX,71000.0
CROX,1385951000.0
CRS,2181100000.0
CRSR,1702367000.0
CRTX,0.0
CRUS,1281124000.0
CRVL,592225000.0
CRWD,874438000.0
CRY,253227000.0
CSCO,49301000000.0
CSGP,1659019000.0
CSGS,990533000.0
CSII,236545000.0
CSL,4245200000.0
CSOD,740916000.0
CSR,177994000.0
CSTE,486412000.0
CSTL,62649000.0
CSTR,107854000.0
CSV,329448000.0
CSWI,419205000.0
CSX,10583000000.0
CTAS,7085120000.0
CTB,2521074000.0
CTBI,185745000.0
CTLT,3094300000.0
CTMX,100362000.0
CTO,56381000.0
CTRE,178332000.0
CTRN,783294000.0
CTS,424066000.0
CTSH,16652000000.0
CTSO,41004601.0
CTT,104564000.0
CTVA,14217000000.0
CTXS,3236700000.0
CUBE,679355000.0
CUBI,442648000.0
CUE,3154325.0
CURO,847396000.0
CUTR,147683000.0
CUZ,748435000.0
CVA,1904000000.0
CVBF,439623000.0
CVCO,1061774000.0
CVCY,73778000.0
CVET,4339000000.0
CVGW,1059371000.0
CVI,3930000000.0
CVLG,838561000.0
CVLT,670885000.0
CVLY,61677000.0
CVM,558664.0
CVNA,5586565000.0
CVS,267908000000.0
CVX,94471000000.0
CW,2391336000.0
CWCO,72628126.0
CWEN,1199000000.0
CWH,5446591000.0
CWK,7843700000.0
CWST,774584000.0
CWT,794307000.0
CXP,300566000.0
CXW,1905485000.0
CYBE,70117000.0
CYCN,2296000.0
CYH,11789000000.0
CYRX,78696000.0
CYTK,55828000.0
CZNC,87886000.0
CZR,3466000000.0
D,14172000000.0
DAKT,608932000.0
DAL,17095000000.0
DAN,7106000000.0
DAR,3571923000.0
DBD,3902300000.0
DBI,2234719000.0
DBX,1913900000.0
DCI,2581800000.0
DCO,628941000.0
DCOM,142249000.0
DCPH,42087000.0
DCT,211672000.0
DD,20397000000.0
DDD,557240000.0
DDOG,603466000.0
DDS,4433185000.0
DE,35514000000.0
DEA,245078000.0
DECK,2132689000.0
DEI,888053000.0
DELL,94224000000.0
DENN,288605000.0
DFIN,894500000.0
DFS,5954000000.0
DG,33746839000.0
DGICA,777819910.0
DGII,279271000.0
DGX,9437000000.0
DHC,1632026000.0
DHI,20311100000.0
DHIL,126387718.0
DHR,22284000000.0
DHT,691039000.0
DHX,136878000.0
DIN,689268000.0
DIOD,1229215000.0
DIS,65388000000.0
DISCA,10671000000.0
DISCK,10671000000.0
DISH,15493435000.0
DJCO,49942000.0
DK,7301800000.0
DKS,9584019000.0
DLB,1161792000.0
DLR,3845980000.0
DLTH,638783000.0
DLTR,25509300000.0
DLX,1790781000.0
DMRC,23990000.0
DMTK,5885000.0
DNB,1738100000.0
DNLI,335659000.0
DNOW,1619000000.0
DOC,436248000.0
DOCU,1453047000.0
DOMO,210180000.0
DOOR,2257075000.0
DORM,1092748000.0
DOV,6683760000.0
DOW,38542000000.0
DOX,4169039000.0
DPZ,4117411000.0
DRE,1004320000.0
DRH,299488000.0
DRI,7806900000.0
DRNA,164307000.0
DRQ,364973000.0
DRRX,30111000.0
DRVN,904200000.0
DSKE,1454100000.0
DSP,165251000.0
DSPG,114480000.0
DSSI,595910000.0
DT,545803000.0
DTE,12177000000.0
DTIL,24285000.0
DUK,23453000000.0
DVA,11550604000.0
DVAX,46551000.0
DVN,4503000000.0
DX,199667000.0
DXC,19577000000.0
DXCM,1926700000.0
DXPE,1005266000.0
DY,3199165000.0
DYN,0.0
DZSI,300640000.0
EA,5537000000.0
